stop_id,x,y
Dedham Corp Center,313,513
Canton Center,332,515
Islington,302,525
Ayer,158,271
Belmont,360,271
Brandeis/ Roberts,307,271
Concord,223,271
Fitchburg,106,271
Hastings,275,271
Kendal Green,293,271
Lincoln,242,271
Littleton / Rte 495,174,271
North Leominster,122,271
Porter Square,386,271
South Acton,190,271
Shirley,141,271
Silver Hill,259,271
West Concord,209,271
Wachusett,90,271
Waltham,324,271
Waverley,343,271
Abington,540,527
Montello,489,527
Greenbush,629,528
Carlson Center,332,529
Haverhill,445,18
Norwood Depot,288,537
Stoughton,347,538
Bradford,445,36
Whitman,563,548
Norwood Central,277,550
Brockton,489,551
Sharon,332,552
North Station,434,300
Windsor Gardens,265,561
Mansfield,332,562
Lawrence,445,52
Newburyport,578,54
Hanson,586,571
Plimptonville,253,571
Attleboro,332,577
Campello,489,577
Andover,445,70
South Attleboro,332,586
Walpole,241,586
Rockport,680,75
Rowley,578,78
Halifax,610,594
Norfolk,230,596
Ballardvale,445,86
Bridgewater,489,598
Providence,332,599
Gloucester,663,92
Lowell,343,94
South Station,462,350
TF Green Airport,332,610
Franklin,216,611
Ipswich,578,102
Ashland,156,358
Auburndale,295,358
Boston Landing,354,358
Framingham,177,358
Grafton,99,358
Natick Center,218,358
Newtonville,334,358
Southborough,136,358
West Natick,197,358
West Newton,314,358
Wellesley Farms,275,358
Wellesley Hills,257,358
Wellesley Square,237,358
Westborough,118,358
Worcester,75,358
Yawkey,376,358
North Wilmington,445,104
West Gloucester,648,107
Back Bay,420,363
Plymouth,639,620
Forge Park / 495,203,621
Wickford Junction,332,621
Kingston,617,622
Middleborough/ Lakeville,489,622
North Billerica,358,111
Reading,445,121
Manchester,633,123
Hamilton/ Wenham,578,127
Wilmington,362,127
Wakefield,445,137
Beverly Farms,618,139
JFK/UMASS,460,395
Newmarket,425,400
Anderson/ Woburn,364,146
North Beverly,578,148
Ruggles,377,405
Greenwood,445,154
Prides Crossing,604,154
Uphams Corner,411,416
Mishawum,364,163
Montserrat,590,169
Melrose Highlands,445,171
Four Corners / Geneva,398,428
Winchester Center,364,182
Bellevue,282,440
Forest Hills,331,440
Hersey,203,440
Highland,255,440
Needham Center,151,440
Needham Heights,128,440
Needham Junction,178,440
Roslindale Village,303,440
West Roxbury,229,440
Beverly,571,185
Talbot Avenue,385,441
Melrose Cedar Park,445,189
Wedgemere,364,195
Quincy Center,468,453
Salem,556,199
Morton Street,371,455
Wyoming Hill,445,204
Blue Hill Ave,358,467
West Medford,364,213
Swampscott,542,215
Hyde Park,333,471
East Weymouth,550,472
Nantasket Junction,608,472
West Hingham,580,472
Weymouth Landing/ East Braintree,518,472
Braintree,492,475
Fairmount,347,479
Lynn,529,224
River Works / GE Employees Only,514,225
Chelsea,475,232
Readville,337,489
Cohasset,629,492
Malden Center,445,238
Endicott,326,500
Holbrook/ Randolph,489,501
South Weymouth,514,501
Route 128,332,502
North Scituate,629,510